Id,Name
7dba8ac7-4a5c-4412-a2d9-d4e4b654ed6e,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство"
bbf41960-b915-4f64-b20d-13bbf6b27561,Добыча полезных ископаемых
280787d8-0bb2-46b6-bb7b-db4b3c4cea2b,Обрабатывающие производства
00ac340a-4e1c-4ef6-bc1f-b0116acabe79,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
